,body,stance
614,"I loved Aromat as a kid, however I now know it's little more than just salt and artificial flavor-enhancer (MSG), so it's quite an unnecessary thing to eat. ",.
434,"That is a good start.  Weekly, buy beans, chicken, eggs, pasta, bread, cheese, yogurt milk cereal and tons of fresh fruits, and veggies.  Get managers special(old) cuts of non-chicken meat and freeze it right away.  Every so often stock up on staples like flour, oil, butter, baking soda/powder, corn starch, peanut butter, rice, spices, sauces condiments.

Get a big pan and some (non-microwave) popcorn.

Buy some raw peanuts, put em in a cookie sheet and cook them at 350 for 15 mins then gently shake the pan and give em 15 more minutes.  Fresh peanuts are amazing.

Beans could be a weekly or occasional staple purchase the same with potatoes, cereal and peanut butter.  They are so cheap but can last so long.

I try to go all natural but I buy taco powder (in a big container not envelopes) and cheese powder (for the popcorn it comes in all sorts of flavors.) and those contain MSG.

For the veggies I would suggest frozen peas, broccoli, cauliflower, carrots and corn.  For fresh; cucumber, carrots, broccoli cauliflower tomatoes avocado celery and peppers.

For the fruit apples, (tons of) bananas (until you can't stand them), oranges and the occasional fresh berry (and frozen berries which are cheaper unless it's the season).

Don't forget mushrooms they are expensive per pound but a pound of mushrooms is huge. Crimini white or if on sale Portabella are the way I go.

For produce try to stay under $3.00 per pound unless you have a big influx of cash.  I shoot for  $1.00 a pound but that isn't always feasible.

You want mostly produce.  You can change out bread for tortillas they can be more expensive but they add some versatility.  Read your labels.  You want as little fake crap as possible.  Don't do diet or low fat anything it's fake garbage (I do get diet Dr. Thunder but he's a doctor.)  If you need to lighten up your diet fill up on fruits and veggies. When buying yogurt (or if you splurge cottage cheese).  Read the labels they fill those full of so much fake crap.

I feed my self and my pregnant wife on $45 a week.  About once a month I spend $100 getting staples (and probably other crap too.)

Obviously you can't get everything here for $45 all at once but it gives variety.  So you have to toy with it.  Figure out milk, egs, meat, cheese and bread cost then go buy the rest in produce.

Google lets you type in ingredients and it will suggest recipes IIRC it's that simple.

Go into the store with the exact amount of cash you want to spend and go to it.",.
411,"To me when curries/stew taste bland is because I made these mistakes. 
1) forgot to season properly. Seems stupid, but not using enough salt may be the reason
2) too much water/ stock is always better 
3)try to use an umami booster: add marmite, sardines, fish sauce, tomato paste, even MSG if necessary",.
1,"According to [this website](http://www.hilary.com/features/msg.html) that kind of has a hate on for MSG here is a list of stuff that ""ALWAYS contain MSG:""

    * Hydrolyzed protein (any protein that is hydrolyzed)
    * Textured protein
    * Glutamate
    * Monopotassium glutamate
    * Glutamic acid
    * Calcium and sodium caseinate
    * Yeast extract and Yeast food
    * Autolyzed yeast
    * Yeast nutrient
    * Gelatin
    * Accent and Zest
    * Glutavene
    * Glutacyl
    * RL-50

I think I've seen a lot of these foods in candy bars and ice cream...  I'm certainly not saying MSG is bad but if you or people you know are sensitive to this sort of thing I'd be curious if you have had any reactions to these things.

 ____NEXT COMMENT____ 
Black peppercorns - everything

Kosher salt - everything

[Fried Chicken Seasoning](http://www.myspicesage.com/fried-chicken-seasoning-p-404.html?CAWELAID=405352115) - every type of poultry or potato

[Chicken Base](http://www.amazon.com/Knorr-Chicken-flavored-broth-mix/dp/B007V47UBU/ref=sr_1_5?s=grocery&amp;ie=UTF8&amp;qid=1349791461&amp;sr=1-5&amp;keywords=knorr+chicken+base) - for veggies, stocks, sauces

Rosemary - many italian dishes, good woodsy flavor for poultry and potatoes

Ground Sage - Italian and middle eastern dishes

Soy Sauce - Asian &amp; BBQ's

Ginger (ground, candied or fresh) - Asian &amp; BBQ's

White distilled vinegar - Everything

Cumin - Mexican &amp; Middle Eastern

Red Pepper flakes - Everything

Paprika - Nearly everything

Cayenne pepper - Nearly everything

A good dry white (Chardonnay) - Sauces and many italian &amp; chinese cooking

Garlic - Everything

Onion powder - Nearly everything

Bay leaves - BBQ's &amp; Stocks

Oregano - Italian

Cilantro - Mexican &amp; Chinese

Parsley - Nearly everything

Dill - Middle eastern

MSG - Any meat

White pepper - Asian

Liquid smoke - BBQ

Dark Brown sugar - Nearly everything (to make light brown sugar: mix dark with regular sugar)

I wanted to keep this list under 25 items but there are more and some people will use more or less of something depending on what food they like to eat.  Some things I feel I should tell you... fresh herbs have an extra something to them that I can't quite point out (maybe something to do with the liquid?) but dried herbs have a more intense flavor per volume.  If you can get ""smoked"" (spice) I usually like the flavor of them a bit more than (spice) regular but YMMV.  I tried to include what I use these spices/herbs for usually but don't let that limit you in what you can make.  Use whatever you like to make your food delicious, best of luck.",.
333,"Traditional fried rice is made with a very VERY hot wok. That is basically the only secret. Hot wok, lots and lots of salt and MSG even when they say they don't use it. Mexican rice and Asian fried rice are the bane of a lot of great cooks' existence. Don't get discouraged, it is all the rest of us out there too. Happy cooking, friend. ",.
399,"I second this, and it should be pointed out that it's MSG free. ",.
77,I was under the impression that protein isolate was literally just that. Do I have a big tub of vanilla flavored msg I make shakes with lol?,.
894,"Kikkoman make that ""mimi"" sauce. I have had it with the buckwheat soba noodles. Dilute the sauce 1 to 4 with water. I think this has alot less sodium and definitely no msg. Also, Miso might be good to try too",.
81,"my local grocery store has what they call ""ham stock"" it is in the powdered boullion form and I can't say its my favorite thing but its available in my area at least! also my local asian market has powdered pork stock that is pretty nice but it is combined with soy sauce flavoring and tons of msg so wouldn't be ideal for lots of western dishes.",-
102,"I'm convinced Knorr is secretly holding Marco's family hostage.  Why else would such a great and renowned chef endorse a product that's basically 90% salt and MSG.  

JUST TELL LIAM NEESON WHAT'S REALLY GOING ON, MARCO!! HE'LL GET THEM BACK FOR YOU!!",.
341,Msg. For real. It’s what it’s made for.,+
348,"As a food scientist I agree. The only issue is the sodium content. 

Beyond that the msg fear stems from a racist opinion article written by a doctor who saw symptoms in his friends after eating Chinese food. The symptoms he described were the same as dehydration. 

The key take away is moderation in all things. ",.
530,"&gt;Also, learned that the ink is full of umami glutamate goodness, and that research is being conducted into its potential cancer-fighting properties.

Wouldn't that be funny after all these years if MSG was proven to have cancer fighting properties.",+
479,If you can sneak some horse radish into the mayo not so you taste it but to have it act as a flavour enhancer as you chew. It's like MSG for italian subs.,+
528,"I've got no problem with MSG, but I'd rather get my free glutamic acid from whole, unprocessed foods. If I'm not in a big rush, I'll use tamari, kombu, miso, fresh mushrooms, stock from dried shiitakes, reduced balsamic vinegar, red wine, tomatoes or tomato paste instead to add more flavour (and potentially nutrional content) as well. But I don't shy away from MSG as a last-minute addition or if I don't have time for all that.",.
795,"How could this problem be solved by plant-based dieters though?  


The first challenge is proving the condition exists, and there's literally no way to sort a nocebo/placebo effect from a real but vague health issue without some kind of controlled study.  


That's not the same as a flat-out denial that the condition exists, but it is certainly a skeptical approach. Many people believe they have a sensitivity to grains or MSG when very little evidence exists to support it, and those allergies can both be traced back to either a fake claim (in the case of MSG) or a study that didn't hold up to further research (non-gluten wheat sensitivity, though I realize there is a little more complexity to that issue.)  


And to be clear, it doesn't matter whether the person had doubts or a negative attitude going in; changing your diet in a significant way, especially by eliminating things you like, could always have a mental effect that would be challenging to suss out.  


Before we can diagnose the underlying causes of failure to thrive on a vegan diet, we'd need to prove it's a real condition. I'd love to see people like OP recruited for a blinded study. Design would be a challenge of course, as you'd have to manage to blind a patient to the food they're eating, and you also couldn't actually put ethical vegans in an experimental group where they were given a non-vegan diet. But I'd love to see OP and other ""FTT"" vegans sign up for a study where they are given a diet where the food is all blended into a homogenous shake or difficult-to-identify substance, and they eat that diet for several months. They report how they're feeling, and we see if there is truly a detectable difference between the diets in FTT people.   


Of course I believe OP did poorly on the diet, but nocebo effects aren't ""fake."" They're completely real, and can have physical manifestations, and that's especially true with things like lack of energy.",.
344,"Japanese mayonnaise is typically made with apple cider vinegar or rice vinegar and a small amount of MSG, which gives it a different flavor from mayonnaise made from distilled vinegar. It is most often sold in soft plastic squeeze bottles. Its texture is thinner than most Western commercial mayonnaise.

Apart from salads, it is popular with dishes such as okonomiyaki, takoyaki and yakisoba and may also accompany katsu and karaage. It is sometimes served with cooked vegetables, or mixed with soy sauce or wasabi and used as dips. It is also common in Japan to use mayonnaise on pizza.

Kewpie (Q.P.) is the most popular brand of Japanese mayonnaise, advertised with a Kewpie doll logo. It is made with egg yolks instead of whole eggs, and the vinegar is a proprietary blend containing apple and malt vinegars.

-Taken from wiki, with some edits. ",.
617,"&gt;MSG is a naturally sourced ingredient.

Can we not use this as a metric of what is or isn't healthy/dangerous please? I am not against MSG in the slightest but implying it's fine *because* it's naturally sourced is daft. Plenty of naturally sourced ingredients are harmful or even lethal. ",.
591,But MSG is naturally occurring in a lot of foods...,.
887,"youre tasting the MSG. that is the reason all fast food, doritos, pringles, etc taste so good.

 ____NEXT COMMENT____ 
ehh i disagree with msg. maybe a tiny sprinkle but i dont use it myself. i wonder why i got downvotes though lol. i guess people dont like the truth?",.
739,"I used to work at a store that was right next to a very traditional Chinese restaurant and would have customers stop by after lunch there who would tell me how great it was to have a restaurant using fresh ingredients and no msg because they were so sensitive. Meanwhile, I would trip over empty 50 pound bags of the stuff out back by the dumpsters. Seriously. I know the stuff isn't this bad, but the first time you find yourself surrounded by those empty 50 lb sacks of it you kind of worry for a minute if you're going to be that one in a thousand that has some sensitivity.

 ____NEXT COMMENT____ 
There's a teensy percentage of the population who have a reaction to MSG and so now every fifth yuppie is sure they also have this problem. It's trendy to have a food intolerance and MSG is less embarrassing to go with than Celiac disease.

 ____NEXT COMMENT____ 
I don't know what it is that makes people do this but it drives me crazy. One night on the internet and they have every disease on the webmd. 

If you have a mild intolerance, you should probably cut back on the stuff that upsets your body. I get that. But people who decide they have a disease just because they read something that vaguely resembled their symptoms on a website do a terrible disservice to people-like you- who really have one, and are just annoying to everyone else. It's one of my pet peeves. I'll end the rant now because this is really getting off from my original comment, which was mostly that MSG comes in horrifically honking large bags. The fact that people who don't know they're eating it often have zero side effects from their 'MSG intolerance' was mostly just something I found dark humor in.",.
220,"I would suggest not salting the meat until it's time for cooking.  It can start curing the meat.  And for anyone still afraid of MSG, just use some soy, worcestershire or fish sauce.

 ____NEXT COMMENT____ 
Yeah!  That's where I learned about that. And as for all those other suggestions I gave, they all have pretty strong flavors (and MSG for that matter), but I figure for anyone afraid of MSG itself, might as well go for something they're okay with.  I never use them for burgers, but figure someone else might find them useful.

And if you can grind your own meat (food processor works, too, if you do it properly) it's wayyyy better!",.
623,Why the anti-MSG message here?,.
420,"Here's the ingredients for the Knorr Vegetarian Vegetable Bullion cubes that I get.  You get 6 cubes for $1.something and each cube is (I think) the equivalent of 1 can of broth.

salt, palm oil, monosodium glutamate, autolyzed yeast extract, sugar, onion powder, corn starch, water, dehydrated cabbage, dehydrated carrots, celery seed, caramel color, disodium inosinate, dehydrated parsley, spices, garlic powder, citric acid, turmeric (for color), partially hydrogenated soybean oil, tbhq (used to protect quality)

If any of that isn't vegetarian, do let me know.  It would obviously be much better for you to make your own but this can be pretty convenient.  ",.
